country,state,abbv,county,city,address,zipcode,loc_no,name,cer_no,date_cer,ownership,lrd,ncs,pts,sps,hhas,sq,sqr
United States,Colorado,CO,Denver,DENVER,6000 E EVANS AVE BLDG 3 STE 111,80222,20852,NAMASTE HOME HEALTH,67471,2008-09-11,Proprietary,2010-09-11,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Denver,DENVER,6000 E EVANS BLDG 2-260,80222,20852,ESTRELLA HOME HEALTH CARE INC,67509,2013-04-04,Non - Profit Private,2015-04-04,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Denver,DENVER,4201 E YALE AVENUE SUITE 120,80222,20852,ABODE HOME HEALTH OF COLORADO,67529,2015-01-29,Proprietary,2015-01-29,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Denver,DENVER,2186 S HOLLY ST #204,80222,20852,ALL FOR KIDS HOME HEALTH,67532,2015-06-22,Proprietary,2015-06-22,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Denver,DENVER,5290 EAST YALE CIRCLE SUITE 203,80222,20852,ALL THE COMFORT OF HOME - HEALTH LLC,67547,2016-05-26,Proprietary,2016-05-26,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Mesa,GRAND JUNCTION,1129 COLORADO AVE,81501,21402,HILLTOP COMMUNITY RESOURCES INC,67059,1981-02-09,Non - Profit Private,2001-02-09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Mesa,GRAND JUNCTION,1131 N 21ST ST,81501,21402,HOME CARE OF THE GRAND VALLEY INC,67133,1981-07-06,Non - Profit Private,2001-07-06,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Mesa,GRAND JUNCTION,2004 NORTH 12TH STREET,81501,21402,COMMUNITY HOSPITAL HOME HEALTH SERVICES,67298,1997-04-15,Non - Profit Other,2012-04-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Mesa,GRAND JUNCTION,2829 NORTH AVENUE SUITE 102,81501,21402,ELITE CARE AT HOME,67511,2013-07-01,Proprietary,2015-07-01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Boulder,BOULDER,1675 RANGE,80301,20227,CENTER FOR PEOPLE WITH DISABILITIES,67065,1981-04-21,Non - Profit Other,2001-04-21,YES,NO,NO,YES,Not Available,
United States,Colorado,CO,Boulder,BOULDER,1790 30TH ST STE 350,80301,20227,FAMILY HOME HEALTH LLC,67481,2009-08-13,Proprietary,2011-08-13,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Jefferson,EVERGREEN,3081 BERGEN PEAK DRIVE,80439,21102,MT EVANS HOME HEALTH CARE INC,67063,1981-07-01,Non - Profit Other,2001-07-01,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Colorado,CO,Pueblo,PUEBLO,54 CLUB MANOR DRIVE #103,81008,22027,PARKVIEW HOMECARE,67069,1982-01-08,Non - Profit Private,2002-01-08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Pueblo,PUEBLO,4112 OUTLOOK BLVD STE 256,81008,22027,CENTURA HEALTH-ST MARY CORWIN HOME SERVICES,67075,1982-07-01,Non - Profit Religious,2002-07-01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Pueblo,PUEBLO,3691 PARKER BLVD SUITE 210,81008,22027,MAXIM HEALTHCARE SERVICES,67413,2000-09-27,Proprietary,2002-09-27,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Pueblo,PUEBLO,805 EAGLERIDGE BLVD STE 160,81008,22027,COMPLETE HOME HEALTH CARE LLC,67338,2001-04-27,Proprietary,2003-04-27,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Pueblo,PUEBLO,4718 NORTH ELIZABETH STREET SUITE A,81008,22027,FRONTIER HOME HEALTH LLC,67501,2012-08-24,Proprietary,2014-08-24,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Pueblo,PUEBLO,1208 EAGLERIDGE BLVD STE A,81008,22027,AIM HOME HEALTH LLC,67531,2015-07-07,Proprietary,2015-07-07,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Teller,WOODLAND PARK,16222 W HIGHWAY 24 SUITE 120,80863,22377,PROSPECT HOME CARE HOSPICE INC,67078,1982-07-30,Non - Profit Other,2002-07-30,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1901 NORTH UNION #202,80909,20577,INTERIM HEALTHCARE OF SOUTHEASTERN COLORADO,67080,1982-10-18,Proprietary,2002-10-18,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,2500 N CIRCLE DRIVE STE 201,80909,20577,ANGELS CARE HOME HEALTH OF PUEBLO,67419,2002-01-03,Proprietary,2004-01-03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1120 N CIRCLE DRIVE SUITE 15,80909,20577,PRIMARY HOME HEALTH CARE INC,67476,2008-12-13,Proprietary,2010-12-13,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Larimer,FORT COLLINS,915 CENTRE AVENUE #2,80526,21202,COLUMBINE POUDRE HOME CARE,67084,1982-12-15,Proprietary,2002-12-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Denver,DENVER,1673 FILLMORE STREET,80206,20752,HEALTH IN HOME NURSING SERVICES INC,67090,1983-06-09,Proprietary,2003-06-09,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Denver,GLENDALE,720 S COLORADO BLVD STE 600-N,80246,21302,ARGUS OF COLORADO HOME HEALTH,67098,1983-10-20,Proprietary,2003-10-20,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Denver,GLENDALE,4100 EAST MISSISSIPPI AVENUE SUITE 1250,80246,21302,MGA HOME HEALTHCARE COLORADO INC,67522,2014-07-23,Proprietary,2016-07-23,YES,YES,YES,NO,Not Available,
United States,Colorado,CO,Jefferson,LAKEWOOD,1550 DOVER ST,80215,21677,ACCENT ON INDEPENDENCE INC,67101,1983-12-15,Proprietary,2003-12-15,YES,NO,NO,YES,Not Available,
United States,Colorado,CO,Jefferson,LAKEWOOD,9197 WEST 6TH AVE STE 1000,80215,21677,PERSONAL ASSISTANCE SERVICES OF COLORADO INC,67195,1991-11-22,Proprietary,2006-11-22,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Delta,DELTA,70 STAFFORD LANE #103,81416,20702,DELTA MONTROSE HOME HEALTH SERVICES,67117,1984-04-10,Government - Local,2004-04-10,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,7015 TALL OAK DRIVE,80919,20627,CENTURA HEALTH HOME HEALTH-PENROSE HOME CARE,67112,1984-04-12,Non - Profit Religious,2004-04-12,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,5755 MARK DABLING BLVD SUITE 325,80919,20627,KINDRED AT HOME,67129,1984-10-25,Proprietary,2004-10-25,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1130 W WOODMEN ROAD,80919,20627,NURSING AND THERAPY SERVICES OF COLORADO INC,67418,2001-12-19,Non - Profit Other,2003-12-19,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,La Plata,DURANGO,175 MERCADO SUITE 131,81301,21002,MERCY HOME HEALTH SERVICES,67119,1984-05-23,Non - Profit Religious,2004-05-23,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Weld,GREELEY,2780 28TH AVENUE,80634,21527,GREELEY CENTER FOR INDEPENDENCE INC,67123,1984-06-20,Non - Profit Private,2004-06-20,YES,NO,NO,YES,Not Available,
United States,Colorado,CO,Weld,GREELEY,5628 W 19TH STREET SUITE 1,80634,21527,BANNER HOME CARE COLORADO,67147,1985-10-08,Non - Profit Private,2005-10-08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Weld,GREELEY,2105 CLUBHOUSE DRIVE,80634,21527,REHABILITATION AND VISITING NURSE ASSOCIATION LLC,67169,1989-01-06,Non - Profit Private,2009-01-06,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Weld,GREELEY,6801 WEST 20TH STREET #207,80634,21527,CARING HEARTS II LLC,67416,2001-07-11,Proprietary,2003-07-11,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Weld,GREELEY,5312 W 9TH STREET DRIVE SUITE 120,80634,21527,TOUCHSTONE HOME HEALTH LLC,67461,2006-07-07,Proprietary,2008-07-07,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Chaffee,SALIDA,301 OAK STREET UNIT E,81201,22102,HEART OF THE ROCKIES HOME HEALTH AND HOSPICE,67136,1985-01-01,Proprietary,2005-01-01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Larimer,LOVELAND,1810 N BOISE,80538,21902,BANNER HOME CARE COLORADO,67137,1985-01-23,Non - Profit Other,2005-01-23,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Larimer,LOVELAND,2802 MADISON SQUARE DRIVE STE 100,80538,21902,PREFERRED HOME CARE SERVICES,67215,1993-08-03,Proprietary,2008-08-03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Kit Carson,BURLINGTON,286 16TH ST,80807,20352,KIT CARSON COUNTY MEMORIAL HOSPITAL HOME HEALTH,67140,1985-04-09,Government - State/ County,2005-04-09,YES,YES,NO,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Larimer,ESTES PARK,555 PROSPECT AVENUE,80517,21077,ESTES PARK HOME HEALTH CARE,67144,1985-06-20,Government - Local,2005-06-20,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,17420 WALDEN WAY,80908,20552,LANI'S CARE NETWORK INC,67146,1985-07-31,Proprietary,2005-07-31,YES,NO,NO,YES,Not Available,
United States,Colorado,CO,Boulder,BOULDER,1155 ALPINE AVE,80304,20252,BOULDER COMMUNITY HOME CARE,67156,1986-05-01,Non - Profit Private,2006-05-01,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5
United States,Colorado,CO,Yuma,YUMA,1000 WEST 8TH AVENUE,80759,22402,YUMA DISTRICT HOSPITAL HOME HEALTH CARE,67161,1987-01-08,Government - Local,2007-01-08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Rio Blanco,MEEKER,575 3RD ST,81641,21927,PIONEERS HOSPITAL HOME HEALTH,67168,1988-12-13,Government - State/ County,2008-12-13,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Boulder,BROOMFIELD,12995 SHERIDAN BLVD SUITE 201,80020,20277,ALLIANT HOME HEALTH,67181,1990-03-27,Proprietary,2005-03-27,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Colorado,CO,Boulder,BROOMFIELD,2095 N 6TH AVE SUITE #209,80020,20277,COMPLETE HOME HEALTH CARE LLC,67415,2001-03-24,Proprietary,2003-03-24,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Boulder,BROOMFIELD,11940 QUAY STREET,80020,20277,COMPASSIONATE HOME HEALTH CARE LLC,67459,2006-03-16,Proprietary,2008-03-16,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Gunnison,GUNNISON,120 NORTH BOULEVARD,81230,21577,GUNNISON VALLEY HEALTH HOME MEDICAL SERVICES,67191,1991-06-05,Government - State/ County,2006-06-05,YES,YES,NO,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,ENGLEWOOD,304 INVERNESS WAY SOUTH SUITE 125,80112,21052,PROFESSIONAL PEDIATRIC HOME CARE INC,67192,1991-07-09,Proprietary,2006-07-09,YES,YES,YES,NO,Not Available,
United States,Colorado,CO,Arapahoe,ENGLEWOOD,61 INVERNESS DRIVE EAST SUITE 200,80112,21052,CENTURA HEALTH AT HOME,67115,1991-07-17,Non - Profit Religious,2006-07-17,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Pueblo,PUEBLO,807 W 4TH STREET,81003,22002,ARGUS HOME CARE INC,67193,1991-10-09,Proprietary,2006-10-09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Pueblo,PUEBLO,720 NORTH MAIN ST #400,81003,22002,INTERIM HEALTHCARE OF PUEBLO,67337,2000-02-29,Proprietary,2002-02-28,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Pueblo,PUEBLO,2320 NORTH GRAND,81003,22002,ABC HOME HEALTH CARE INC,67456,2006-01-11,Proprietary,2008-01-11,YES,YES,NO,YES,Not Available,
United States,Colorado,CO,Pueblo,PUEBLO,201 W 8TH ST SUITE 550,81003,22002,HUMAN TOUCH HOME HEALTH CARE AGENCY INC PUEBLO,67494,2011-07-25,Proprietary,2013-07-25,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Mesa,GRAND JUNCTION,2764 COMPASS DRIVE SUITE 108B,81506,21477,GENTIVA HEALTH SERVICES,67196,1991-12-05,Proprietary,2006-12-05,YES,YES,NO,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Baca,SPRINGFIELD,204 EAST 10TH AVENUE,81073,22127,SOUTHEAST COLORADO HOSPITAL HOME HEALTH AGENCY,67198,1992-01-15,Government - Local,2007-01-15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Denver,DENVER,3980 QUEBEC STREET SUITE 100,80207,20777,SCL HOME HEALTH LLC,67201,1992-05-19,Proprietary,2007-05-19,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Colorado,CO,Morgan,FORT MORGAN,515 E RIVERVIEW AVE,80701,21227,COLORADO PLAINS MEDICAL CENTER HOME CARE,67204,1992-09-25,Proprietary,2007-09-25,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,729 S TEJON STREET,80903,20427,INDEPENDENCE CENTER THE,67212,1993-09-13,Non - Profit Private,2008-09-13,YES,YES,NO,YES,Not Available,
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1160 LAKE PLAZA DRIVE SUITE 100,80903,20427,HUMAN TOUCH HOME HEALTH CARE AGENCY INC,67275,1996-06-06,Proprietary,2011-06-06,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Boulder,LONGMONT,2919 WEST 17TH AVE SUITE 101,80503,21852,GOOD SAMARITAN SOCIETY-COLORADO HOME CARE,67208,1993-11-16,Non - Profit Religious,2008-11-16,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Boulder,LONGMONT,1629 HARVARD STREET,80503,21852,PROFESSIONAL HOME HEALTH CARE INC,67451,2005-08-03,Proprietary,2007-08-03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Garfield,GLENWOOD SPRINGS,1901 GRAND AVENUE STE 206,81601,21327,HOMECARE OF THE VALLEY,67219,1993-12-09,Non - Profit Private,2008-12-09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,GREENWOOD VILLAGE,6021 S SYRACUSE WAY STE 204,80111,21552,ENCOMPASS HOME HEALTH OF COLORADO,67224,1994-02-04,Proprietary,2009-02-04,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,GREENWOOD VILLAGE,5600 S QUEBEC ST STE 300A,80111,21552,BROOKDALE HOME HEALTH DENVER,67469,2008-06-20,Proprietary,2010-06-20,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,GREENWOOD VILLAGE,6000 GREENWOOD PLAZA BLVD SUITE 130,80111,21552,KINDRED AT HOME,67488,2011-02-04,Proprietary,2013-02-04,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,GREENWOOD VILLAGE,5600 S QUEBEC ST STE 310A,80111,21552,PROGRESSIVE HOME HEALTH SERVICES LLC,67512,2013-09-11,Proprietary,2015-09-11,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,GREENWOOD VILLAGE,6000 GREENWOOD PLAZA BLVD SUITE 230,80111,21552,EPIC HEALTH SERVICES,67542,2015-05-23,Proprietary,2015-05-23,YES,YES,NO,NO,Not Available,
United States,Colorado,CO,Adams,DENVER,7100 NORTH BROADWAY BLDG 2L,80221,20827,ALTERNATIVE HOME HEALTH CARE CONNECTION,67227,1994-03-24,Proprietary,2009-03-24,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Jefferson,WHEAT RIDGE,3760 VANCE ST #303,80033,22327,RELIABLE HOME HEALTH SERVICES INC,67230,1994-05-11,Proprietary,2009-05-11,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Jefferson,WHEAT RIDGE,3895 UPHAM ST STE 100,80033,22327,BRIDGES COMMUNITY HOMECARE,67491,2011-08-30,Proprietary,2013-08-30,YES,YES,NO,NO,Not Available,
United States,Colorado,CO,Adams,AURORA,14707 EAST 2ND AVE STE 300,80011,20152,PSA HEALTHCARE,67240,1994-12-06,Proprietary,2009-12-06,YES,NO,NO,YES,Not Available,
United States,Colorado,CO,Adams,AURORA,14707 EAST 2ND AVENUE SUITE 200,80011,20152,GOLDEN HARMONY INC,67437,2004-01-09,Proprietary,2006-01-09,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Adams,AURORA,14707 E 2ND AVE SUITE 220,80011,20152,DIGNITY HOME HEALTH OF COLORADO LLC,67520,2014-02-19,Proprietary,2016-02-19,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Mesa,GRAND JUNCTION,2777 CROSSROADS BLVD UNIT 2,81502,21427,ROCKY MOUNTAIN HEALTH PLANS,67259,1995-01-04,Non - Profit Other,2010-01-04,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Larimer,FORT COLLINS,2000 VERMONT DRIVE #100,80524,21152,INTERIM HEALTHCARE OF FORT COLLINS INC,67253,1995-05-05,Proprietary,2010-05-05,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,El Paso,COLORADO SPRINGS,630 SOUTHPOINTE COURT #105,80906,20502,MAXIM HEALTHCARE SERVICES INC,67325,1995-05-19,Proprietary,2010-05-19,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1160 LAKE PLAZA DRIVE SUITE 255,80906,20502,SUMMIT HOME HEALTH CARE INC,67402,1997-06-24,Proprietary,2012-06-24,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,AURORA,2121 S BLACKHAWK STREET STE 110,80014,20202,AT HOME HEALTHCARE,67255,1995-05-30,Proprietary,2010-05-30,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,AURORA,3000 S JAMAICA CT #175,80014,20202,ESSENTIAL MEDICAL SERVICES INC,67260,1995-08-07,Proprietary,2010-08-07,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,10697 E DARTMOUTH AVENUE,80014,20202,BERKLEY HOME HEALTHCARE,67407,1999-05-26,Proprietary,2014-05-26,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,AURORA,12510 EAST ILIFF AVENUE #115,80014,20202,DIVINE DEDICATION INC,67425,2002-12-17,Proprietary,2004-12-17,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,10800 E BETHANY DRIVE #100,80014,20202,ANGELS CARE HOME HEALTH OF COLORADO,67434,2003-06-11,Proprietary,2005-06-11,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,AURORA,2821 SOUTH PARKER ROAD #615,80014,20202,AMAZING CARE HOME HEALTH SERVICES INC,67441,2004-11-04,Proprietary,2006-11-04,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,AURORA,2851 S PARKER RD SUITE 960,80014,20202,RGA HOME HEALTH SERVICES INC,67479,2009-04-20,Proprietary,2011-04-20,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Colorado,CO,Arapahoe,AURORA,10555 E DARTMOUTH AVENUE SUITE 360,80014,20202,GENERATIONS AT HOME LLC,67480,2009-06-12,Proprietary,2011-06-12,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,3033 S PARKER ROAD SUITE 300,80014,20202,TEAM SELECT HOME CARE OF COLORADO LLC,67490,2011-06-22,Proprietary,2013-06-22,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Arapahoe,AURORA,3025 S PARKER RD STE 600,80014,20202,ATLAS HOME HEALTH INC,67492,2011-09-22,Proprietary,2013-09-22,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,3131 S VAUGHN WAY STE 110,80014,20202,AGAPE CARE COMMUNITY LLC,67495,2012-01-18,Proprietary,2014-01-18,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,2323 S TROY ST STE 5-340B,80014,20202,INFINITI HOME HEALTH CARE AGENCY,67507,2013-02-15,Proprietary,2015-02-15,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,10660 E BETHANY DR,80014,20202,STILLWATER HOME CARE AGENCY LLC,67510,2013-06-04,Proprietary,2015-06-04,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,2851 S PARKER RD UNIT 1084,80014,20202,HIGH PRIORITY INC,67521,2014-04-01,Proprietary,2016-04-01,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,2620 S PARKER ROAD #164,80014,20202,HOME CARE RN INC,67524,2014-07-14,Proprietary,2016-07-14,YES,YES,NO,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,14001 E ILIFF AVE STE 206,80014,20202,PREMIER HEALTHCARE SERVICES LLC,67527,2015-03-06,Proprietary,2015-03-06,YES,NO,NO,YES,Not Available,
United States,Colorado,CO,Arapahoe,AURORA,2620 SOUTH PARKER RD STE 268,80014,20202,GREATER DENVER HOME HEALTH CARE INC,67538,2015-07-30,Proprietary,2015-07-30,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Lake,LEADVILLE,822 W 4TH ST,80461,21802,ST VINCENT HOME HEALTH CARE,67262,1995-10-02,Government - State/ County,2010-10-02,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Rio Blanco,RANGELY,225 EAGLE CREST DRIVE,81648,22052,RANGELY DISTRICT HOSPITAL HOME HEALTH,67267,1995-11-29,Non - Profit Other,2010-11-29,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Adams,THORNTON,51 W 84TH AVE #411,80260,22227,HUMAN TOUCH HOME HEALTH CARE AGENCY INC DELTA,67268,1995-12-05,Proprietary,2010-12-05,YES,YES,YES,YES,Not Available,
United States,Colorado,CO,Mesa,GRAND JUNCTION,2478 PATTERSON RD #10,81505,21452,HUMAN TOUCH HOME HEALTH CARE AGENCY INC GRAND JUNC,67272,1996-05-06,Proprietary,2011-05-06,YES,NO,NO,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Logan,STERLING,614 S 10TH AVE,80751,22177,STERLING MEDCARE HOME HEALTH INC,67274,1996-05-29,Proprietary,2011-05-29,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Logan,STERLING,731 WEST MAIN STREET,80751,22177,NORTHEAST PLAINS HOME HEALTH CARE LLC,67460,2006-03-30,Proprietary,2008-03-30,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Huerfano,WALSENBURG,601 S ALBERT STREET SUITE A,81089,22252,MOUNTAIN CREEK HOME HEALTH,67279,1996-05-29,Non - Profit Private,2011-05-29,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0
United States,Colorado,CO,Otero,ROCKY FORD,208 NORTH MAIN STREET,81067,22077,COUNTRY PLAINS HOME HEALTH,67280,1996-05-31,Non - Profit Other,2011-05-31,YES,YES,NO,YES,Better Than Expected,4.5 - 5.0
United States,Colorado,CO,Lincoln,HUGO,111 6TH STREET,80821,21602,LINCOLN COMMUNITY HOME HEALTH,67277,1996-06-26,Proprietary,2011-06-26,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
United States,Colorado,CO,Prowers,LAMAR,401 KENDALL DRIVE,81052,21752,PROWERS MEDICAL CENTER HOME HEALTH,67295,1997-03-19,Government - Local,2012-03-19,YES,YES,YES,YES,Same As Expected,3.0 - 4.0
