country,state,abbv,county,city,address,zipcode_x,loc_no,name,cer_no,date_cer,ownership,lrd,ncs,pts,sps,hhas,sq,sqr,c_sqr,latitude,longitude,zipcode_y,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone
United States,Colorado,CO,Denver,DENVER,6000 E EVANS AVE BLDG 3 STE 111,80222,20852,NAMASTE HOME HEALTH,67471,9/11/08,Proprietary,9/11/10,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.6779473,-104.917781,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
United States,Colorado,CO,Denver,DENVER,6000 E EVANS BLDG 2-260,80222,20852,ESTRELLA HOME HEALTH CARE INC,67509,4/4/13,Non - Profit Private,4/4/15,YES,YES,YES,YES,Not Available,,,39.6779473,-104.917781,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
United States,Colorado,CO,Denver,DENVER,4201 E YALE AVENUE SUITE 120,80222,20852,ABODE HOME HEALTH OF COLORADO,67529,1/29/15,Proprietary,1/29/15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.668642,-104.9387941,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
United States,Colorado,CO,Denver,DENVER,2186 S HOLLY ST #204,80222,20852,ALL FOR KIDS HOME HEALTH,67532,6/22/15,Proprietary,6/22/15,YES,YES,YES,YES,Not Available,,,39.6767349,-104.9218661,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
United States,Colorado,CO,Denver,DENVER,5290 EAST YALE CIRCLE SUITE 203,80222,20852,ALL THE COMFORT OF HOME - HEALTH LLC,67547,5/26/16,Proprietary,5/26/16,YES,YES,YES,YES,Not Available,,,39.6682418,-104.9277063,80222,21272,10533,10739,38.6,21272,2466,11.59270402,50670,37866,827,3.887739752,10585,1963,280100,17421,1357,207,563,805
United States,Colorado,CO,Mesa,GRAND JUNCTION,1129 COLORADO AVE,81501,21402,HILLTOP COMMUNITY RESOURCES INC,67059,2/9/81,Non - Profit Private,2/9/01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.066084,-108.5535054,81501,24837,12484,12353,29.4,24837,6013,24.20984821,35115,19389,1759,7.082175786,10213,1967,167300,21783,417,423,215,674
United States,Colorado,CO,Mesa,GRAND JUNCTION,1131 N 21ST ST,81501,21402,HOME CARE OF THE GRAND VALLEY INC,67133,7/6/81,Non - Profit Private,7/6/01,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.0780497,-108.5409829,81501,24837,12484,12353,29.4,24837,6013,24.20984821,35115,19389,1759,7.082175786,10213,1967,167300,21783,417,423,215,674
United States,Colorado,CO,Mesa,GRAND JUNCTION,2004 NORTH 12TH STREET,81501,21402,COMMUNITY HOSPITAL HOME HEALTH SERVICES,67298,4/15/97,Non - Profit Other,4/15/12,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.0857982,-108.5517429,81501,24837,12484,12353,29.4,24837,6013,24.20984821,35115,19389,1759,7.082175786,10213,1967,167300,21783,417,423,215,674
United States,Colorado,CO,Mesa,GRAND JUNCTION,2829 NORTH AVENUE SUITE 102,81501,21402,ELITE CARE AT HOME,67511,7/1/13,Proprietary,7/1/15,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.0765333,-108.5284144,81501,24837,12484,12353,29.4,24837,6013,24.20984821,35115,19389,1759,7.082175786,10213,1967,167300,21783,417,423,215,674
United States,Colorado,CO,Boulder,BOULDER,1675 RANGE,80301,20227,CENTER FOR PEOPLE WITH DISABILITIES,67065,4/21/81,Non - Profit Other,4/21/01,YES,NO,NO,YES,Not Available,,,40.0159026,-105.2305427,80301,25099,12977,12122,39.2,25099,2264,9.020279692,72214,47063,659,2.625602614,11803,1983,420300,23026,174,96,745,476
United States,Colorado,CO,Boulder,BOULDER,1790 30TH ST STE 350,80301,20227,FAMILY HOME HEALTH LLC,67481,8/13/09,Proprietary,8/13/11,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.0177079,-105.2521201,80301,25099,12977,12122,39.2,25099,2264,9.020279692,72214,47063,659,2.625602614,11803,1983,420300,23026,174,96,745,476
United States,Colorado,CO,Jefferson,EVERGREEN,3081 BERGEN PEAK DRIVE,80439,21102,MT EVANS HOME HEALTH CARE INC,67063,7/1/81,Non - Profit Other,7/1/01,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5,1.75,39.659009,-105.3528662,80439,24130,11957,12173,48.4,24130,1443,5.98010775,95768,53138,744,3.083298798,10742,1979,446700,23227,135,93,289,67
United States,Colorado,CO,Pueblo,PUEBLO,54 CLUB MANOR DRIVE #103,81008,22027,PARKVIEW HOMECARE,67069,1/8/82,Non - Profit Private,1/8/02,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.306321,-104.620926,81008,10263,5010,5253,38.8,10263,1869,18.2110494,50385,29311,425,4.14108935,4767,1991,162700,7630,430,137,207,1254
United States,Colorado,CO,Pueblo,PUEBLO,4112 OUTLOOK BLVD STE 256,81008,22027,CENTURA HEALTH-ST MARY CORWIN HOME SERVICES,67075,7/1/82,Non - Profit Religious,7/1/02,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.3116501,-104.6257129,81008,10263,5010,5253,38.8,10263,1869,18.2110494,50385,29311,425,4.14108935,4767,1991,162700,7630,430,137,207,1254
United States,Colorado,CO,Pueblo,PUEBLO,3691 PARKER BLVD SUITE 210,81008,22027,MAXIM HEALTHCARE SERVICES,67413,9/27/00,Proprietary,9/27/02,YES,YES,YES,YES,Not Available,,,38.3108272,-104.6611051,81008,10263,5010,5253,38.8,10263,1869,18.2110494,50385,29311,425,4.14108935,4767,1991,162700,7630,430,137,207,1254
United States,Colorado,CO,Pueblo,PUEBLO,805 EAGLERIDGE BLVD STE 160,81008,22027,COMPLETE HOME HEALTH CARE LLC,67338,4/27/01,Proprietary,4/27/03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.3214595,-104.6199342,81008,10263,5010,5253,38.8,10263,1869,18.2110494,50385,29311,425,4.14108935,4767,1991,162700,7630,430,137,207,1254
United States,Colorado,CO,Pueblo,PUEBLO,4718 NORTH ELIZABETH STREET SUITE A,81008,22027,FRONTIER HOME HEALTH LLC,67501,8/24/12,Proprietary,8/24/14,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.3215756,-104.6177484,81008,10263,5010,5253,38.8,10263,1869,18.2110494,50385,29311,425,4.14108935,4767,1991,162700,7630,430,137,207,1254
United States,Colorado,CO,Pueblo,PUEBLO,1208 EAGLERIDGE BLVD STE A,81008,22027,AIM HOME HEALTH LLC,67531,7/7/15,Proprietary,7/7/15,YES,YES,YES,YES,Not Available,,,38.320233,-104.623979,81008,10263,5010,5253,38.8,10263,1869,18.2110494,50385,29311,425,4.14108935,4767,1991,162700,7630,430,137,207,1254
United States,Colorado,CO,Teller,WOODLAND PARK,16222 W HIGHWAY 24 SUITE 120,80863,22377,PROSPECT HOME CARE HOSPICE INC,67078,7/30/82,Non - Profit Other,7/30/02,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.9741593,-105.0745828,80863,12322,6144,6178,45.2,12322,1002,8.131796786,75346,36626,478,3.879240383,5414,1987,273800,11816,95,28,148,69
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1901 NORTH UNION #202,80909,20577,INTERIM HEALTHCARE OF SOUTHEASTERN COLORADO,67080,10/18/82,Proprietary,10/18/02,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,43.2122361,-77.7934577,80909,38262,18769,19493,34.6,38262,7400,19.34033767,38696,23433,1535,4.011813287,17503,1965,172200,27905,3010,380,738,3362
United States,Colorado,CO,El Paso,COLORADO SPRINGS,2500 N CIRCLE DRIVE STE 201,80909,20577,ANGELS CARE HOME HEALTH OF PUEBLO,67419,1/3/02,Proprietary,1/3/04,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.8682006,-104.7847983,80909,38262,18769,19493,34.6,38262,7400,19.34033767,38696,23433,1535,4.011813287,17503,1965,172200,27905,3010,380,738,3362
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1120 N CIRCLE DRIVE SUITE 15,80909,20577,PRIMARY HOME HEALTH CARE INC,67476,12/13/08,Proprietary,12/13/10,YES,YES,YES,YES,Not Available,,,38.8480051,-104.7767489,80909,38262,18769,19493,34.6,38262,7400,19.34033767,38696,23433,1535,4.011813287,17503,1965,172200,27905,3010,380,738,3362
United States,Colorado,CO,Larimer,FORT COLLINS,915 CENTRE AVENUE #2,80526,21202,COLUMBINE POUDRE HOME CARE,67084,12/15/82,Proprietary,12/15/02,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.3494242,-75.9319721,80526,46175,23320,22855,31.5,46175,7226,15.6491608,59948,30859,1744,3.776935571,18801,1987,275400,41647,467,353,1398,643
United States,Colorado,CO,Denver,DENVER,1673 FILLMORE STREET,80206,20752,HEALTH IN HOME NURSING SERVICES INC,67090,6/9/83,Proprietary,6/9/03,YES,YES,YES,YES,Not Available,,,39.7432481,-104.9538756,80206,23515,11293,12222,37,23515,2425,10.31256645,64519,61221,567,2.411226876,13539,1955,487200,20845,909,110,521,288
United States,Colorado,CO,Denver,GLENDALE,720 S COLORADO BLVD STE 600-N,80246,21302,ARGUS OF COLORADO HOME HEALTH,67098,10/20/83,Proprietary,10/20/03,YES,YES,YES,YES,Not Available,,,39.7038179,-104.9398892,80246,13284,7103,6181,30.9,13284,2068,15.56760012,45913,35517,577,4.343571213,7698,1974,279800,10325,754,71,568,1018
United States,Colorado,CO,Denver,GLENDALE,4100 EAST MISSISSIPPI AVENUE SUITE 1250,80246,21302,MGA HOME HEALTHCARE COLORADO INC,67522,7/23/14,Proprietary,7/23/16,YES,YES,YES,NO,Not Available,,,39.696034,-104.9388397,80246,13284,7103,6181,30.9,13284,2068,15.56760012,45913,35517,577,4.343571213,7698,1974,279800,10325,754,71,568,1018
United States,Colorado,CO,Jefferson,LAKEWOOD,1550 DOVER ST,80215,21677,ACCENT ON INDEPENDENCE INC,67101,12/15/83,Proprietary,12/15/03,YES,NO,NO,YES,Not Available,,,39.741391,-105.092442,80215,19263,9875,9388,40,19263,2114,10.97440689,61753,35492,747,3.877900639,8489,1966,342400,17297,409,270,471,254
United States,Colorado,CO,Jefferson,LAKEWOOD,9197 WEST 6TH AVE STE 1000,80215,21677,PERSONAL ASSISTANCE SERVICES OF COLORADO INC,67195,11/22/91,Proprietary,11/22/06,YES,YES,YES,YES,Not Available,,,39.7269231,-105.0980313,80215,19263,9875,9388,40,19263,2114,10.97440689,61753,35492,747,3.877900639,8489,1966,342400,17297,409,270,471,254
United States,Colorado,CO,Delta,DELTA,70 STAFFORD LANE #103,81416,20702,DELTA MONTROSE HOME HEALTH SERVICES,67117,4/10/84,Government - Local,4/10/04,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.7466317,-108.0485199,81416,14358,7395,6963,40.4,14358,2477,17.25170637,39868,21292,527,3.670427636,6032,1979,179200,13378,198,51,173,395
United States,Colorado,CO,El Paso,COLORADO SPRINGS,7015 TALL OAK DRIVE,80919,20627,CENTURA HEALTH HOME HEALTH-PENROSE HOME CARE,67112,4/12/84,Non - Profit Religious,4/12/04,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0,4.75,38.9333172,-104.8197196,80919,28429,13648,14781,43.2,28429,1965,6.911956101,91278,43065,923,3.246684723,11748,1988,326700,25575,662,43,572,341
United States,Colorado,CO,El Paso,COLORADO SPRINGS,5755 MARK DABLING BLVD SUITE 325,80919,20627,KINDRED AT HOME,67129,10/25/84,Proprietary,10/25/04,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0,4.75,38.9147412,-104.821294,80919,28429,13648,14781,43.2,28429,1965,6.911956101,91278,43065,923,3.246684723,11748,1988,326700,25575,662,43,572,341
United States,Colorado,CO,El Paso,COLORADO SPRINGS,1130 W WOODMEN ROAD,80919,20627,NURSING AND THERAPY SERVICES OF COLORADO INC,67418,12/19/01,Non - Profit Other,12/19/03,YES,YES,YES,YES,Not Available,,,38.9439125,-104.8478878,80919,28429,13648,14781,43.2,28429,1965,6.911956101,91278,43065,923,3.246684723,11748,1988,326700,25575,662,43,572,341
United States,Colorado,CO,La Plata,DURANGO,175 MERCADO SUITE 131,81301,21002,MERCY HOME HEALTH SERVICES,67119,5/23/84,Non - Profit Religious,5/23/04,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,37.2383237,-107.8222444,81301,29899,14942,14957,37.1,29899,3290,11.0037125,63897,35973,845,2.826181478,15336,1984,387900,27207,152,1115,184,457
United States,Colorado,CO,Weld,GREELEY,2780 28TH AVENUE,80634,21527,GREELEY CENTER FOR INDEPENDENCE INC,67123,6/20/84,Non - Profit Private,6/20/04,YES,NO,NO,YES,Not Available,,,40.392717,-104.7250241,80634,55570,27111,28459,37.8,55570,5804,10.44448443,62682,30591,1563,2.812668706,21890,1989,210600,48918,565,286,974,3005
United States,Colorado,CO,Weld,GREELEY,5628 W 19TH STREET SUITE 1,80634,21527,BANNER HOME CARE COLORADO,67147,10/8/85,Non - Profit Private,10/8/05,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.4076212,-104.772012,80634,55570,27111,28459,37.8,55570,5804,10.44448443,62682,30591,1563,2.812668706,21890,1989,210600,48918,565,286,974,3005
United States,Colorado,CO,Weld,GREELEY,2105 CLUBHOUSE DRIVE,80634,21527,REHABILITATION AND VISITING NURSE ASSOCIATION LLC,67169,1/6/89,Non - Profit Private,1/6/09,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.4049305,-104.7687301,80634,55570,27111,28459,37.8,55570,5804,10.44448443,62682,30591,1563,2.812668706,21890,1989,210600,48918,565,286,974,3005
United States,Colorado,CO,Weld,GREELEY,6801 WEST 20TH STREET #207,80634,21527,CARING HEARTS II LLC,67416,7/11/01,Proprietary,7/11/03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.4074038,-104.7919326,80634,55570,27111,28459,37.8,55570,5804,10.44448443,62682,30591,1563,2.812668706,21890,1989,210600,48918,565,286,974,3005
United States,Colorado,CO,Weld,GREELEY,5312 W 9TH STREET DRIVE SUITE 120,80634,21527,TOUCHSTONE HOME HEALTH LLC,67461,7/7/06,Proprietary,7/7/08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.4224309,-104.7700187,80634,55570,27111,28459,37.8,55570,5804,10.44448443,62682,30591,1563,2.812668706,21890,1989,210600,48918,565,286,974,3005
United States,Colorado,CO,Chaffee,SALIDA,301 OAK STREET UNIT E,81201,22102,HEART OF THE ROCKIES HOME HEALTH AND HOSPICE,67136,1/1/85,Proprietary,1/1/05,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.5297339,-105.9843556,81201,8999,4624,4375,50.4,8999,765,8.500944549,48086,31707,209,2.322480276,5055,1973,296800,8682,16,84,30,58
United States,Colorado,CO,Larimer,LOVELAND,1810 N BOISE,80538,21902,BANNER HOME CARE COLORADO,67137,1/23/85,Non - Profit Other,1/23/05,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.4113548,-105.0532756,80538,45553,22418,23135,42.2,45553,3696,8.113625886,62643,32300,1141,2.504774658,19117,1988,244800,42137,159,233,591,1253
United States,Colorado,CO,Larimer,LOVELAND,2802 MADISON SQUARE DRIVE STE 100,80538,21902,PREFERRED HOME CARE SERVICES,67215,8/3/93,Proprietary,8/3/08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.421606,-105.0597827,80538,45553,22418,23135,42.2,45553,3696,8.113625886,62643,32300,1141,2.504774658,19117,1988,244800,42137,159,233,591,1253
United States,Colorado,CO,Kit Carson,BURLINGTON,286 16TH ST,80807,20352,KIT CARSON COUNTY MEMORIAL HOSPITAL HOME HEALTH,67140,4/9/85,Government - State/ County,4/9/05,YES,YES,NO,YES,Same As Expected,3.0 - 4.0,3.5,39.3030065,-102.2705758,80807,5533,3283,2250,38.2,5533,711,12.8501717,42083,23635,117,2.114585216,1985,1971,130500,4969,300,28,7,154
United States,Colorado,CO,Larimer,ESTES PARK,555 PROSPECT AVENUE,80517,21077,ESTES PARK HOME HEALTH CARE,67144,6/20/85,Government - Local,6/20/05,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.3714199,-105.5150166,80517,9158,4199,4959,58.2,9158,1125,12.28434156,53045,36896,188,2.052849967,7765,1986,346600,8993,0,17,19,22
United States,Colorado,CO,El Paso,COLORADO SPRINGS,17420 WALDEN WAY,80908,20552,LANI'S CARE NETWORK INC,67146,7/31/85,Proprietary,7/31/05,YES,NO,NO,YES,Not Available,,,39.083794,-104.759992,80908,15355,7352,8003,42.1,15355,524,3.412569196,104777,45549,406,2.644089873,5504,1996,414600,13303,369,110,228,308
United States,Colorado,CO,Boulder,BOULDER,1155 ALPINE AVE,80304,20252,BOULDER COMMUNITY HOME CARE,67156,5/1/86,Non - Profit Private,5/1/06,YES,YES,YES,YES,Worse Than Expected,1.0 - 2.5,1.75,40.0258307,-105.2825407,80304,26732,13604,13128,38.5,26732,2551,9.542869969,85832,50579,781,2.921592099,11593,1978,624900,24665,137,42,891,298
United States,Colorado,CO,Yuma,YUMA,1000 WEST 8TH AVENUE,80759,22402,YUMA DISTRICT HOSPITAL HOME HEALTH CARE,67161,1/8/87,Government - Local,1/8/07,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.1203602,-102.7370349,80759,4547,2219,2328,45,4547,520,11.43611172,37374,24419,31,0.681768199,2229,1965,137000,4146,106,0,0,200
United States,Colorado,CO,Rio Blanco,MEEKER,575 3RD ST,81641,21927,PIONEERS HOSPITAL HOME HEALTH,67168,12/13/88,Government - State/ County,12/13/08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,40.0408573,-107.9107438,81641,3768,1896,1872,37.9,3768,530,14.06581741,45357,28276,124,3.290870488,2048,1978,249800,3647,0,16,0,1
United States,Colorado,CO,Boulder,BROOMFIELD,12995 SHERIDAN BLVD SUITE 201,80020,20277,ALLIANT HOME HEALTH,67181,3/27/90,Proprietary,3/27/05,YES,YES,YES,YES,Better Than Expected,4.5 - 5.0,4.75,39.931538,-105.0536047,80020,48928,24269,24659,37.5,48928,3064,6.262262917,83056,37937,1530,3.127043819,19178,1987,280000,43152,488,118,2733,871
United States,Colorado,CO,Boulder,BROOMFIELD,2095 N 6TH AVE SUITE #209,80020,20277,COMPLETE HOME HEALTH CARE LLC,67415,3/24/01,Proprietary,3/24/03,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,,,80020,48928,24269,24659,37.5,48928,3064,6.262262917,83056,37937,1530,3.127043819,19178,1987,280000,43152,488,118,2733,871
United States,Colorado,CO,Boulder,BROOMFIELD,11940 QUAY STREET,80020,20277,COMPASSIONATE HOME HEALTH CARE LLC,67459,3/16/06,Proprietary,3/16/08,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.9130647,-105.0726835,80020,48928,24269,24659,37.5,48928,3064,6.262262917,83056,37937,1530,3.127043819,19178,1987,280000,43152,488,118,2733,871
United States,Colorado,CO,Gunnison,GUNNISON,120 NORTH BOULEVARD,81230,21577,GUNNISON VALLEY HEALTH HOME MEDICAL SERVICES,67191,6/5/91,Government - State/ County,6/5/06,YES,YES,NO,YES,Same As Expected,3.0 - 4.0,3.5,38.5453232,-106.9331166,81230,9128,4848,4280,34.1,9128,1789,19.59903593,44180,23616,444,4.864154251,4905,1977,264300,8890,3,55,11,67
United States,Colorado,CO,Arapahoe,ENGLEWOOD,304 INVERNESS WAY SOUTH SUITE 125,80112,21052,PROFESSIONAL PEDIATRIC HOME CARE INC,67192,7/9/91,Proprietary,7/9/06,YES,YES,YES,NO,Not Available,,,39.5643934,-104.864946,80112,32564,16221,16343,36,32564,1920,5.896081562,87333,45783,810,2.487409409,13705,1989,343100,27366,868,137,2675,659
United States,Colorado,CO,Arapahoe,ENGLEWOOD,61 INVERNESS DRIVE EAST SUITE 200,80112,21052,CENTURA HEALTH AT HOME,67115,7/17/91,Non - Profit Religious,7/17/06,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,39.5781008,-104.8561335,80112,32564,16221,16343,36,32564,1920,5.896081562,87333,45783,810,2.487409409,13705,1989,343100,27366,868,137,2675,659
United States,Colorado,CO,Pueblo,PUEBLO,807 W 4TH STREET,81003,22002,ARGUS HOME CARE INC,67193,10/9/91,Proprietary,10/9/06,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,38.2706938,-104.6179635,81003,14984,7536,7448,39.7,14984,3699,24.68633209,28296,15585,710,4.738387613,6279,1955,87700,10126,1100,661,71,2280
United States,Colorado,CO,Pueblo,PUEBLO,720 NORTH MAIN ST #400,81003,22002,INTERIM HEALTHCARE OF PUEBLO,67337,2/29/00,Proprietary,2/28/02,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,33.400461,-104.5232446,81003,14984,7536,7448,39.7,14984,3699,24.68633209,28296,15585,710,4.738387613,6279,1955,87700,10126,1100,661,71,2280
United States,Colorado,CO,Pueblo,PUEBLO,2320 NORTH GRAND,81003,22002,ABC HOME HEALTH CARE INC,67456,1/11/06,Proprietary,1/11/08,YES,YES,NO,YES,Not Available,,,38.2907695,-104.6114645,81003,14984,7536,7448,39.7,14984,3699,24.68633209,28296,15585,710,4.738387613,6279,1955,87700,10126,1100,661,71,2280
United States,Colorado,CO,Pueblo,PUEBLO,201 W 8TH ST SUITE 550,81003,22002,HUMAN TOUCH HOME HEALTH CARE AGENCY INC PUEBLO,67494,7/25/11,Proprietary,7/25/13,YES,YES,YES,YES,Not Available,,,38.2746173,-104.6090967,81003,14984,7536,7448,39.7,14984,3699,24.68633209,28296,15585,710,4.738387613,6279,1955,87700,10126,1100,661,71,2280
United States,Colorado,CO,Mesa,GRAND JUNCTION,2764 COMPASS DRIVE SUITE 108B,81506,21477,GENTIVA HEALTH SERVICES,67196,12/5/91,Proprietary,12/5/06,YES,YES,NO,YES,Same As Expected,3.0 - 4.0,3.5,39.1169451,-108.5399162,81506,10961,5266,5695,51.5,10961,1098,10.01733418,48713,33211,272,2.481525408,5328,1984,275200,10463,1,0,68,153
United States,Colorado,CO,Baca,SPRINGFIELD,204 EAST 10TH AVENUE,81073,22127,SOUTHEAST COLORADO HOSPITAL HOME HEALTH AGENCY,67198,1/15/92,Government - Local,1/15/07,YES,YES,YES,YES,Same As Expected,3.0 - 4.0,3.5,37.4040246,-102.6147114,81073,1925,917,1008,45.5,1925,432,22.44155844,34286,22194,48,2.493506494,1069,1968,80800,1812,47,17,0,13
